album_id,album_name,album_listens,artist_id
1,AWOL - A Way Of Life,6073,1
6,Constant Hitmaker,47632,6
1657,Live at WFMU on Talk's Cheap 8/11/2008,35251,6
60,Every Man For Himself,1304,54
61,The Blind Spot,1300,54
62,The Quiet Room,845,54
64,Amoebiasis,2014,56
65,Limbic Rage,1446,56
69,Arc and Sender,628,60
70,unreleased demo,197,60
72,Boss of Goth,716,62
73,Nightmarcher,193,62
74,Victim of Your Life,346,62
75,Heir to the Power Bear Fortune,90,62
76,"Tarantula Downpour 7""",149,62
77,Dracula Safari,226,62
85,What I Know,894,127
84,Blue Piano,12333,127
176,Viridian City,2865,127
177,Rainy Day Song,1329,127
1688,Live at WFMU 10/30/07 on Hatch's Show,4054,127
86,Au,1148,66
88,Bad News Bats,2677,68
93,Bersa Discos #8,7702,73
94,6,2544,74
1662,Live at WFMU on Talk's Cheap 12/16/2008,5021,74
3595,Charles,999,74
100,On Opaque Things,5613,80
102,Black Elk,4418,81
108,Green Collection,2060,84
109,Stripey Collection,3439,84
110,Gold Collection,4250,84
112,30th Anniversary Blah Blah Blah,11086,84
116,Summer Set,1763,86
1070,Live at WFMU on Liz Berg's Show on 6/25/2007,708,86
119,Boogie Witch,942,89
1697,On the Back of a Dying Beast: Volume 1,1931,90
122,Root,6068,90
123,split with Sunshine Militant Children's Hour,808,90
132,blissblood.com,22483,97
140,Sing Like Birds,1420,98
141,The Thrush,564,100
987,Live at WFMU on Talk's Cheap 10/14/2008,2603,100
4293,Dirty Moves (Sampler),3931,100
5257,Activity EP,1828,100
8075,roulé EP,4394,100
142,One Mind,4681,101
143,Unreleased,2918,102
148,Cinwaves,1733,105
149,Babylon Rules,3169,106
1112,Live at WFMU on Brian Turner's Show on 12/12/2006,2721,106
150,unreleased Clyde Rourke mp3s,395,107
151,CoCoComa,807,108
154,"WAR (If It Feels Good, Do It!)",1941,111
1695,Habitats In the Wound,76,122
1692,Clones of Eros,1019,122
168,12 December 2007,352,122
169,Double Dagger,1999,123
1703,Double Dagger demo,583,123
170,Ragged Rubble,418,123
1159,Live at WFMU on Pat Duncan's Show on 3/23/2006,883,123
6366,Live at WFMU on Marty McSorley's Show on 05/05/2010,1014,123
171,"""rebukes!""",508,124
172,Dragging an Ox Through Water - S/T3INCH,369,124
173,The Tropics of Phenomenon,567,124
179,"Funeral Home Session 7""",1551,128
178,El Jesus De Magico,1295,128
3510,Love You,358,128
3514,"Unclean Ghost/ Pirate Utopia 7""",1870,128
3520,Live at WFMU on Talk's Cheap 6/16/2009,1388,128
184,Spree: An Escape From Reality,1945,133
185,SNAP!,314,133
186,"""I Stayed Home ..."" (single)",444,133
187,25 Lessons in HYPNOTISM,2565,133
1707,Forty Minutes Forty Memories: Horrible Music by Ethan Persoff,3879,133
191,Change Thoughts,2695,136
190,Change Thoughts (radio edit),5339,136
192,Cataclysm,5718,137
1708,Retrospectiw IV,472,137
194,The Void,573,137
195,Trauma,326,137
196,mp3 single with Faust,7723,138
197,Cock Rock Disco 2006 Free Compilation,2822,138
201,The Severed Tongue Speaks For Everyone,348,142
457,Another Planet Sessions,108,142
458,"Electrorock 7""",132,142
459,The Functional Blackouts,251,142
202,The Cult From Moon Mountain,1248,143
203,Kobold Moon,5100,143
7322,Live at ATP-NY 2010 w/ Helena Espvall & Mary Lattimore,834,143
204,Take A hit,1005,144
216,Quickies,8996,149
460,New Numbers,3398,149
461,The Hidden Woman,2644,149
462,The Glove Compartment,6319,149
219,Character Assassination Bureau,490,151
220,Nightmare in a Ravaged Brain,394,151
221,Duct Tape You,597,151
222,Fun With Your New Head,177,151
1716,Hall of Fame (2000),1254,153
537,Paradise Now,1778,153
1241,Live at WFMU on Stork's Show on 2/18/2001,2059,153
1717,Hall of Fame (1997),1595,153
227,"Sir 12"" EP",1415,155
228,Here Comes A Big Black Cloud!!,1535,156
229,Pompeii,3090,156
1756,Heroin UK,1599,158
284,Little Fury Things Sampler [V/A],2378,194
234,Exploding Demon,584,161
237,No Demo,4019,164
242,unreleased Illusion of Safety mp3s,2172,167
243,unreleased new recordings 2008,2485,167
247,Impediments,1608,169
252,The Sounds of Megaphone Unlimited,4404,174
