artist_id,artist_name
1,AWOL
6,Kurt Vile
54,Alec K. Redfearn & the Eyesores
56,Amoebic Ensemble
60,Arc and Sender
62,Argumentix
127,Ed Askew
66,Au
68,Bad News Bats
73,Banana Clipz
74,Barnacled
80,Bird Names
81,Black Elk
84,Blah Blah Blah
86,Blanketship
89,Boogie Witch
90,Borful Tang
97,Cantonement Jazz Band
98,Celesteville
100,Chandeliers
101,Charles Manson
102,Chief Boima
105,Cinwaves
106,Clockcleaner
107,Clyde Rourke
108,CoCoComa
111,DJ's of Mass Destruction
122,Dora Bleu
123,Double Dagger
124,Dragging an Ox Through Water
128,El Jesus De Magico
133,Ethan Persoff
136,Fanatic
137,Flying Luttenbachers
138,Food For Animals
142,The Functional Blackouts
143,Fursaxa
144,Fuzz Unlimited
149,Glove Compartment
151,Guinea Worms
153,Hall Of Fame
155,Hecuba
156,Here Comes A Big Black Cloud!!
158,Heroin UK
159,Holzkopf
161,Human Host
162,Hutzl Ukranian Ensemble
164,I Am the Liquor
167,Illusion of Safety
169,Impediments
174,Jason Willett
175,Jad Fair and Jason Willett
180,King Kong Ding Dong
181,Knit Witch
182,Kowloon Walled City
183,Kyle Bruckmann
184,Kyle Bruckmann's Wrack
186,Lazy Magnet
191,Liquorball
192,Little Howlin' Wolf
193,LO MOdA
194,Lop
195,Lovely Little Girls
197,Lozenge
198,Lungs Of A Giant
199,M. Nguyen Van Minh-Con
201,Mahjongg
203,Mary Halvorson and Weasel Walter
205,Mayor Daley
208,Mike Rep and the Quotas
209,Mincemeat or Tenspeed
210,Mink Lungs
211,Minmae
212,Monoshock
214,Mors Ontologica
215,Mount Eerie
217,Mountain High
220,Muraghu
221,Necropolis
223,Newagehillbilly
224,Nicky Andrews
228,Oh My God
230,Olneyville Sound System
232,Padna
234,Patrick J. Touhey
238,Phallic Suns
239,Pierced Arrows
240,Plastic Crimewave Sound
241,Pleasurehorse
244,Ponytail
247,Quasar Wut-Wut
248,Qulfus
249,Rainbro
254,Rick Weaver / The Ruined Frame
256,Rok/Paper/Disco
257,RoMak and the Space Pirates
259,Samara Lubelski
263,Sir Lord Von Raven
265,Six Star General
267,Snacks
268,Snake Apartment
269,So Cow
271,Softboiled Eggies
273,Solomonoff and Von Hoffmannstahl
1259,The Sounds of Taraab
275,Soup Purse
276,Sparrow Steeple
277,Speechless Brothers
278,Spires That in the Sunset Rise
279,Strapping Fieldhands
280,Stress Ape
281,Sun Araw
282,Sunshine Militant Children's Hour
285,T.I.T.S.
289,The Lindsay*
290,The Wire Orchestra
291,The Agrarians
293,The Butcherings
295,The Higher State
301,The Set of Red Things
303,The Tleilaxu Music Machine
304,The Yolks
305,Thee Oh Sees
306,Tommy Jay
310,Traveling Bell
312,The Twin Atlas
317,Vincebus Eruptum
318,Vincent Black Shadow
319,Von Hayes
322,Vulcanus 68
323,Vulcanus 68 w/D.Smith
328,Weirdo Begeirdo
329,What Cheer? Brigade
331,Xiu Xiu
334,caUSE co-MOTION
115,Thomas Dimuzio
358,Bolmongani
1381,Watersports
385,Adept
390,Ai Aso
417,Arborea
455,The Baskervilles
1393,Benjamin Wetherill
472,Big Digits
502,Bonde Do Role
504,Bonne Aparte
522,Brother JT
565,Cheap Time
575,Citay
602,Country Teasers
662,DMBQ
1647,Dan Deacon
1605,Dan Friel
639,Dengue Fever
792,Doug Gillard
694,Electric Kulintang
1438,Emma Peel
728,Fallen Leaves
738,The Feeling of Love
742,Fern Knight
139,Foot Village
763,Frigg A Go Go (F.A.G.G.)
1403,Gary Wilson
802,Golden Dogs
828,Hank IV
844,Gary Higgins
869,Ignatz
889,Japanische Kampfhorspiele
890,Jazzfinger
1279,Kelley Stoltz
915,Killdozer
921,Kinski
355,Larkin Grimm
941,Leather Uppers
190,Lightning Bolt
965,Los Fancy Free
966,Los Llamarada
970,Loto Ball Show
1616,Love Craft
826,Mary Halvorson and Jessica Pavone
446,Matt Baldwin
1022,Meth Teeth
559,Michael Chapman
851,Michael Holt
1070,Nalle
1408,Nate Wooley
1082,Nightingales
1374,Peter Walker
1152,Psychedelic Horseshit
1165,Quintron
1175,Razor Bois
1126,Reynold Philipsek
362,Roxy Pain
1222,Sic Alps
1229,Silver Jews
1237,Skybombers
1249,The Snow
1417,Steve Wynn
352,SUX
